CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"KARASEV, SERGEY","TELETOVIC, MIRZA",,,,245,,,
"KELLY, RYAN","TEMPLE, GARRETT",,,,246,,,
"KIDD-GILCHRIST, MICHAEL","TERRY, JASON",,,,247,,,
"KIRILENKO, ANDREI","THOMAS, ISAIAH",,,,248,,,
"KIRK, ALEX","THOMPSON, HOLLIS",,,,249,,,
"KNIGHT, BRANDON","THOMPSON, JASON",,,,250,,,
"KORVER, KYLE","THOMPSON, KLAY",,,,251,,,
"KOUFOS, KOSTA","THOMPSON, TRISTAN",,,,252,,,
"KUZMIC, OGNJEN","THORNTON, MARCUS",,,,253,,,
"LAMB, JEREMY","TUCKER, PJ",,,,254,,,
"LANDRY, CARL","TURKOGLU, HEDO",,,,255,,,
"LARKIN, SHANE","TURNER, EVAN",,,,256,,,
"LAUVERGNE, JOFFREY","URDIH, BENO",,,,257,,,
"LAVINE, ZACH","VALANCIUNAS, JONAS",,,,258,,,
"LAWSON, TY","VASQUEZ, GREIVIS",,,,259,,,
"LEDO, RICKY","VILLANUEVA, CHARLIE",,,,260,,,
"LEE, COURTNEY","VUCEVIC, NIKOLA",,,,261,,,
"LEE, DAVID","WADE, DWAYNE",,,,262,,,
"LEN, ALEX","WALKER, KEMBA",,,,263,,,
"LEONARD, KAWHI","WALL, JOHN",,,,264,,,
"LEONARD, MEYERS","WATSON, CJ",,,,265,,,
"LEUER, JON","WEAR, TRAVIS",,,,266,,,
"LILLARD, DAMIAN","WEST, DAVID",,,,267,,,
"LIN, JEREMY","WESTBROOK, RUSSELL",,,,268,,,
"LIVINGSTON, SHAUN","WIGGINS, ANDREW",,,,269,,,
"LOPEZ, BROOK","WILLIAMS, DERON",,,,270,,,
"LOPEZ, ROBIN","WILLIAMS, DERRICK",,,,271,,,
"LOVE, KEVIN","WILLIAMS, LOU",,,,272,,,
"LOWRY, KYLE","WILLIAMS, MARVIN",,,,273,,,
"LUCAS III, JOHN","WILLIAMS, MICHAEL",,,,274,,,
"LUCAS, KALIN","WILLIAMS, MO",,,,275,,,
"MACK, SHELVIN","WILLIAMS, SHAWNE",,,,276,,,
"MAHINMI, IAN","YOUNG, NICK",,,,277,,,
"MARBLE, DEVYN","YOUNG, THADDEUS",,,,278,,,
"MARION, SHAWN","ZELLER, CODY",,,,279,,,
"MARSHALL, KENDALL","ZELLER, TYLER",,,,280,,,
"MARTIN, CARTIER",,,,,281,,,
"MARTIN, KENYON",,,,,282,,,
"MARTIN, KEVIN",,,,,283,,,
"MATTHEWS, WESLEY",,,,,284,,,
"MAXIELL, JASON",,,,,285,,,
"MAYO, OJ",,,,,286,,,
"MBAH A MOUTE, LUC",,,,,287,,,
"MCADOO, JAMES MICHAEL",,,,,288,,,
"MCCALLUM, RAY",,,,,289,,,
"MCCOLLUM, CJ",,,,,290,,,
"MCDANIELS, KJ",,,,,291,,,
"MCDERMOTT, DOUG",,,,,292,,,
"MCGARY, MITCH",,,,,293,,,
"MCGEE, JAVALE",,,,,294,,,
"MCLEMORE, BEN",,,,,295,,,
"MCROBERTS, JOSH",,,,,296,,,
"MEEKS, JODIE",,,,,297,,,
"MEKEL, GAL",,,,,298,,,
"MIDDLETON, KHRIS",,,,,299,,,
"MILES, CJ",,,,,300,,,
"MILLER, ANDRE",,,,,301,,,
"MILLER, DARIUS",,,,,302,,,
"MILLER, MIKE",,,,,303,,,
"MILLER, QUINCY",,,,,304,,,
"MILLS, PATTY",,,,,305,,,
"MILLSAP, ELIJAH",,,,,306,,,
"MILLSAP, PAUL",,,,,307,,,
"MIROTIC, NIKOLA",,,,,308,,,
"MOHAMMED, NAZR",,,,,309,,,
"MONROE, GREG",,,,,310,,,
"MOORE, E'TWAUN",,,,,311,,,
"MORELAND, ERIC",,,,,312,,,
"MORRIS, DARIUS",,,,,313,,,
"MORRIS, MARCUS",,,,,314,,,
"MORRIS, MARKIEFF",,,,,315,,,
"MORROW, ANTHONY",,,,,316,,,
"MOTIEJUNAS, DONATAS",,,,,317,,,
"MOZGOV, TIMOFEY",,,,,318,,,
"MUHAMMAD, SHABAZZ",,,,,319,,,
"MURRY, TOURE",,,,,320,,,
"MUSCALA, MIKE",,,,,321,,,
"NAPIER, SHABAZZ",,,,,322,,,
"NEAL, GARY",,,,,323,,,
"NELSON, JAMEER",,,,,324,,,
NENE,,,,,325,,,
"NICHOLSON, ANDREW",,,,,326,,,
"NOAH, JOAKIM",,,,,327,,,
"NOEL, NERLENS",,,,,328,,,
"NOGUEIRA, LUCAS",,,,,329,,,
"NOVAK, STEVE",,,,,330,,,
"NOWITZKI, DIRK",,,,,331,,,
"NURKIC, JUSUF",,,,,332,,,
"O'BRYANT, JOHNNY",,,,,333,,,
"OLADIPO, VICTOR",,,,,334,,,
"OLYNYK, KELLY",,,,,335,,,
"O'QUINN, KYLE",,,,,336,,,
"PACHULIA, ZAZA",,,,,337,,,
"PAPANIKOLAOU, KOSTAS",,,,,338,,,
"PARGO, JANNERO",,,,,339,,,
"PARKER, JABARI",,,,,340,,,
"PARKER, TONY",,,,,341,,,
"PARSONS, CHANDLER",,,,,342,,,
"PATTERSON, PATRICK",,,,,343,,,
"PAUL, CHRIS",,,,,344,,,
"PAYNE, ADREIAN",,,,,345,,,
"PAYTON, ELFRID",,,,,346,,,
"PEKOVIC, NIKOLA",,,,,347,,,
"PERKINS, KENDRICK",,,,,348,,,
"PIERCE, PAUL",,,,,349,,,
"PLUMLEE, MASON",,,,,350,,,
"PLUMLEE, MILES",,,,,351,,,
"PONDEXTER, QUINCY",,,,,352,,,
"PORTER, OTTO",,,,,353,,,
"POWELL, DWIGHT",,,,,354,,,
"PRESSEY, PHIL",,,,,355,,,
"PRICE, AJ",,,,,356,,,
"PRICE, RONNIE",,,,,357,,,
"PRIGIONI, PABLO",,,,,358,,,
"PRINCE, TAYSHAUN",,,,,359,,,
"RADULJICA, MIROSLAV",,,,,360,,,
"RANDLE, JULIUS",,,,,361,,,
"RANDOLPH, SHAVLIK",,,,,362,,,
"RANDOLPH, ZACH",,,,,363,,,
"REDICK, JJ",,,,,364,,,
"RICE JR, GLEN",,,,,365,,,
"RICHARDSON, JASON",,,,,366,,,
"RIDNOUR, LUKE",,,,,367,,,
"RIVERS, AUSTIN",,,,,368,,,
"ROBERSON, ANDRE",,,,,369,,,
"ROBERTS, BRIAN",,,,,370,,,
"ROBINSON, GLENN",,,,,371,,,
"ROBINSON, NATE",,,,,372,,,
"ROBINSON, THOMAS",,,,,373,,,
"RONDO, RAJON",,,,,374,,,
"ROSE, DERRICK",,,,,375,,,
"ROSS, TERRENCE",,,,,376,,,
"RUBIO, RICKY",,,,,377,,,
"RUDEZ, DAMJAN",,,,,378,,,
"RUSH, BRANDON",,,,,379,,,
"SACRE, ROBERT",,,,,380,,,
"SALMONS, JOHN",,,,,381,,,
"SAMPSON, JAKARR",,,,,382,,,
"SANDERS, LARRY",,,,,383,,,
"SCHRODER, DENNIS",,,,,384,,,
"SCOLA, LUIS",,,,,385,,,
"SCOTT, MIKE",,,,,386,,,
"SEFOLOSHA, THABO",,,,,387,,,
"SERAPHIN, KEVIN",,,,,388,,,
"SESSIONS, RAMON",,,,,389,,,
"SHUMPERT, IMAN",,,,,390,,,
"SHVED, ALEXEY",,,,,391,,,
"SIMS, HENRY",,,,,392,,,
"SINGLER, KYLE",,,,,393,,,
"SLOAN, DONALD",,,,,394,,,
"SMART, MARCUS",,,,,395,,,
"SMITH, GREG",,,,,396,,,
"SMITH, ISH",,,,,397,,,
"SMITH, JASON",,,,,398,,,
"SMITH, JOSH",,,,,399,,,
"SMITH, JR",,,,,400,,,
"SMITH, RUSS",,,,,401,,,
"SNELL, TONY",,,,,402,,,
"SPEIGHTS, MARREESE",,,,,403,,,
"SPLITTER, TIAGO",,,,,404,,,
"STAUSKAS, NIK",,,,,405,,,
"STEPHENSON, LANCE",,,,,406,,,
"STIEMSMA, GREG",,,,,407,,,
